batch_size,cl_decay_steps,epochs,filter_type,base_lr,lr_decay_ratio,max_diffusion_step,max_grad_norm,num_encoder_layers,num_decoder_layers,rnn_units,objective
64,1964,35,random_walk,0.007,0.09,2,7,1,1,32,2.312650572
128,1191,29,laplacian,0.01,0.043,1,4,3,1,10,2.181149592
64,1055,49,laplacian,0.009,0.066,2,8,3,2,14,2.292868005
32,1759,81,laplacian,0.01,0.124,1,4,2,1,16,2.233499783
128,1628,95,laplacian,0.007,0.047,1,1,3,1,27,2.294157587
128,1709,61,random_walk,0.01,0.104,3,5,2,2,32,2.317236282
128,1594,68,laplacian,0.01,0.025,2,9,5,2,32,2.339993694
128,1981,52,laplacian,0.01,0.025,1,2,5,2,31,2.271958476
128,1777,50,laplacian,0.01,0.036,1,10,4,2,28,2.211662751
32,1443,31,laplacian,0.009,0.113,2,7,4,1,32,2.255637082
64,1694,52,laplacian,0.01,0.03,2,6,3,2,29,2.3537657
64,1130,32,laplacian,0.01,0.107,3,9,2,1,32,2.204969811
64,1470,42,laplacian,0.009,0.132,1,1,3,2,19,2.313415992
128,1264,30,random_walk,0.009,0.127,1,2,2,3,29,2.274242091
64,1099,27,laplacian,0.004,0.085,1,2,4,2,24,2.271702019
64,1089,29,dual_random_walk,0.01,0.025,3,1,4,2,7,2.353388862
64,1229,46,laplacian,0.008,0.076,2,4,3,1,32,2.311944967
128,1793,43,laplacian,0.01,0.07,2,5,2,2,20,2.251932772
128,1687,47,dual_random_walk,0.008,0.078,1,9,1,2,32,2.228951968
16,1779,47,laplacian,0.009,0.091,2,9,3,1,32,2.299590098
8,1417,90,laplacian,0.007,0.025,3,2,4,1,22,2.3537657
8,1177,42,random_walk,0.008,0.146,1,5,4,3,20,2.287899453
128,1903,93,random_walk,0.007,0.043,1,1,3,2,32,2.3537657
64,1411,38,laplacian,0.01,0.064,2,1,2,2,21,2.3537657
64,1604,36,laplacian,0.009,0.05,1,5,4,2,16,2.289759528
32,1075,26,laplacian,0.008,0.081,2,5,3,2,12,2.263223081
128,1663,71,laplacian,0.009,0.04,1,3,2,2,26,2.219524211
128,1650,58,laplacian,0.01,0.081,2,6,2,1,32,2.257670941
16,1519,95,laplacian,0.008,0.025,1,1,3,1,15,2.3537657
64,1052,88,random_walk,0.01,0.025,1,3,4,2,13,2.3537657
128,1710,87,random_walk,0.009,0.025,2,9,3,1,32,2.231071201
64,1540,58,laplacian,0.01,0.048,2,4,3,2,31,2.309755443
32,1734,62,random_walk,0.01,0.025,2,2,3,1,17,2.271015556
128,1983,59,laplacian,0.01,0.025,1,6,2,1,21,2.291409894
128,1066,79,random_walk,0.009,0.025,1,7,3,1,32,2.299523633
32,1188,46,random_walk,0.008,0.054,2,8,4,1,32,2.240380333
64,1608,32,random_walk,0.009,0.15,2,7,1,2,27,2.309583123
64,1869,35,laplacian,0.01,0.06,1,4,4,1,16,2.233851195
64,1695,36,random_walk,0.01,0.039,1,1,3,3,10,2.296320328
8,1458,35,laplacian,0.006,0.025,2,3,3,2,19,2.337728192
32,1253,67,laplacian,0.008,0.107,1,4,2,1,32,2.311583757
128,1210,95,laplacian,0.01,0.025,1,3,2,1,28,2.3537657
128,1299,51,laplacian,0.01,0.025,1,7,5,2,32,2.233034546
64,1427,50,random_walk,0.008,0.159,1,1,2,2,30,2.349411191
128,1351,63,random_walk,0.009,0.025,2,5,1,2,32,2.339888249
8,1585,22,laplacian,0.007,0.171,1,3,1,1,25,2.220481088
32,1642,39,laplacian,0.01,0.151,1,7,4,2,19,2.33042761
128,1886,92,laplacian,0.01,0.025,2,2,3,1,30,2.263624761
32,1821,49,laplacian,0.01,0.064,2,9,3,1,11,2.223353867
64,1626,46,laplacian,0.009,0.025,3,4,2,2,32,2.3537657
128,1449,51,laplacian,0.01,0.089,1,8,3,2,32,2.2935131
64,1914,58,laplacian,0.008,0.079,1,3,1,2,22,2.297165132
64,1686,31,random_walk,0.01,0.025,2,8,2,1,28,2.320206839
64,1893,49,laplacian,0.01,0.058,2,5,3,1,32,2.280281873
16,1803,22,laplacian,0.009,0.074,2,8,1,2,20,2.284110553
128,1268,60,laplacian,0.007,0.025,1,4,3,2,25,2.283238841
32,1290,27,random_walk,0.009,0.183,2,3,3,1,28,2.321394854
8,1537,26,dual_random_walk,0.008,0.128,1,1,3,3,10,2.343035958
128,1437,34,laplacian,0.01,0.041,2,3,3,2,25,2.229257989
32,1521,73,random_walk,0.006,0.062,2,7,3,1,32,2.284800159
64,1638,44,laplacian,0.009,0.078,1,7,4,2,31,2.142880719
128,1392,65,laplacian,0.009,0.109,2,10,3,1,32,2.218372073
128,1478,37,laplacian,0.01,0.026,2,1,4,2,22,2.288039015
128,1746,63,laplacian,0.01,0.13,1,2,3,2,18,2.297987587
128,1562,70,laplacian,0.01,0.028,2,9,5,1,32,2.320530457
128,1261,95,laplacian,0.01,0.025,2,5,3,2,32,2.312496365
128,1369,53,laplacian,0.01,0.025,2,4,1,1,31,2.292141054
32,1334,68,laplacian,0.009,0.037,2,3,2,1,25,2.313573188
128,1885,36,random_walk,0.008,0.025,1,3,3,2,32,2.2875638
